SRCID,Q1,Q1_Ordinal,Q2,DUM1,DUM2,Q5Average,Q6,Q7Average,Q8,Q9Average,Q10,Q11Average,Q12,Q12_Ordinal,Q18,Q20,Q22,Q22_Ordinal,Q24,p_gender_sdc,p_age_group_sdc,p_education_sdc,p_state_sdc,Random
422,4,"""4""","""13""","""1""","""3""",2,"""8""",1,"""9""",2,"""2""",2,1,"""1""",3,4,1,"""1""","""0""","""2""","""4""","""3""","""3""",28
423,4,"""4""","""16""","""2""","""1""",3,"""4""",1,"""5""",3,"""2""",2,1,"""1""",7,7,1,"""1""","""0""","""1""","""4""","""3""","""4""",
426,4,"""4""","""1""","""1""","""3""",2,"""1""",2,"""5""",2,"""2""",2,1,"""1""",5,8,1,"""1""","""2""","""1""","""3""","""1""","""3""",
432,5,"""5""","""19""","""1""","""3""",2,"""1""",2,"""9""",2,"""2""",2,1,"""1""",6,8,1,"""1""","""0""","""2""","""4""","""3""","""1""",29
440,4,"""4""","""28""","""1""","""1""",2,"""1""",1,"""2""",2,"""1""",2,1,"""1""",7,8,1,"""1""","""0""","""1""","""3""","""3""","""3""",
441,2,"""2""","""1""","""1""","""1""",2,"""4""",1,"""1""",2,"""2""",2,1,"""1""",7,8,1,"""1""","""0""","""2""","""2""","""3""","""1""",
445,4,"""4""","""13""","""1""","""1""",3,"""4""",2,"""4""",3,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""3""","""3""","""3""",30
454,4,"""4""","""1""","""2""","""3""",2,"""10""",1,"""9""",2,"""1""",2,1,"""1""",5,8,1,"""1""","""0""","""1""","""3""","""2""","""4""",31
457,4,"""4""","""1""","""1""","""1""",3,"""4""",2,"""1""",3,"""2""",2,1,"""1""",0,10,1,"""1""","""0""","""2""","""3""","""3""","""2""",
461,2,"""2""","""4""","""2""","""3""",2,"""6""",2,"""9""",2,"""1""",2,1,"""1""",3,10,1,"""1""","""0""","""1""","""2""","""3""","""1""",
467,4,"""4""","""1""","""1""","""3""",2,"""8""",1,"""5""",2,"""1""",2,1,"""1""",7,7,1,"""1""","""0""","""1""","""4""","""3""","""1""",32
473,4,"""4""","""13""","""2""","""3""",2,"""1""",3,"""8""",2,"""1""",2,1,"""1""",8,4,1,"""1""","""0""","""1""","""3""","""3""","""1""",
477,4,"""4""","""16""","""2""","""3""",2,"""1""",1,"""1""",2,"""2""",2,1,"""1""",5,8,1,"""1""","""0""","""2""","""3""","""2""","""3""",
478,4,"""4""","""2""","""1""","""1""",2,"""1""",2,"""2""",2,"""2""",3,1,"""1""",8,7,1,"""1""","""0""","""1""","""4""","""2""","""1""",33
480,2,"""2""","""1""","""1""","""2""",2,"""4""",2,"""2""",2,"""1""",2,1,"""1""",8,7,1,"""1""","""0""","""2""","""3""","""3""","""3""",34
486,2,"""2""","""1""","""1""","""1""",2,"""1""",1,"""6""",2,"""2""",1,1,"""1""",6,8,1,"""1""","""0""","""1""","""4""","""1""","""3""",
489,1,"""1""","""8""","""1""","""1""",2,"""4""",1,"""2""",2,"""2""",1,1,"""1""",10,10,1,"""1""","""0""","""1""","""4""","""3""","""1""",
497,2,"""2""","""1""","""1""","""1""",2,"""4""",2,"""2""",2,"""1""",2,1,"""1""",6,7,1,"""1""","""0""","""2""","""2""","""2""","""2""",35
501,4,"""4""","""16""","""2""","""2""",2,"""5""",1,"""4""",2,"""2""",2,1,"""1""",7,8,1,"""1""","""0""","""1""","""2""","""2""","""4""",
509,2,"""2""","""13""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",7,5,1,"""1""","""0""","""1""","""4""","""2""","""1""",
512,2,"""2""","""32""","""1""","""1""",2,"""9""",2,"""5""",2,"""2""",2,1,"""1""",5,5,1,"""1""","""0""","""1""","""3""","""3""","""1""",36
520,4,"""4""","""13""","""2""","""1""",2,"""1""",1,"""2""",2,"""1""",2,1,"""1""",4,7,1,"""1""","""0""","""2""","""3""","""3""","""4""",37
524,2,"""2""","""1""","""2""","""1""",2,"""1""",1,"""2""",2,"""1""",2,1,"""1""",3,7,1,"""1""","""0""","""2""","""4""","""1""","""5""",
533,5,"""5""","""13""","""1""","""2""",2,"""1""",2,"""2""",2,"""2""",2,1,"""1""",8,10,1,"""1""","""0""","""1""","""2""","""2""","""2""",
534,4,"""4""","""13""","""2""","""1""",3,"""3""",2,"""8""",3,"""2""",2,1,"""1""",8,5,1,"""1""","""0""","""1""","""2""","""2""","""1""",38
535,5,"""5""","""13""","""1""","""1""",2,"""4""",1,"""9""",2,"""1""",2,1,"""1""",7,5,1,"""1""","""0""","""2""","""3""","""2""","""1""",
